year,countryCode,country,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,Qscore,total,GDP,population
2016,16,Bangladesh,BiocapTotGHA,41393073.72,514268.5483,830981.9322,8239528.686,12063661.94,0,3A,63041514.82,1062.040161,157976992
2016,16,Bangladesh,Earths,0.218765551,0.003097795,0.054193683,0.015295156,0.047509106,0.191427383,3A,0.530288673,1062.040161,157976992
2016,16,Bangladesh,EFConsPerCap,0.351631175,0.004979217,0.087107811,0.024584554,0.076363407,0.307689373,3A,0.852355537,1062.040161,157976992
2016,16,Bangladesh,EFConsTotGHA,55549638.09,786601.8367,13761030.63,3883794.083,12063661.94,48607844.09,3A,134652570.7,1062.040161,157976992
2016,16,Bangladesh,EFExportsPerCap,0.005107431,1.23E-06,5.25E-05,0.001040798,0,0.017213718,3A,0.023415727,1062.040161,157976992
2016,16,Bangladesh,EFExportsTotGHA,806856.6772,194.6870125,8301.207834,164422.1508,0,2719371.593,3A,3699146.316,1062.040161,157976992
2016,16,Bangladesh,EFImportsPerCap,0.094718985,0.001725112,0.022419872,0.005922594,0,0.15584454,3A,0.280631103,1062.040161,157976992
2016,16,Bangladesh,EFImportsTotGHA,14963421.05,272527.9754,3541824.072,935633.6502,0,24619852.95,3A,44333259.7,1062.040161,157976992
2016,16,Bangladesh,EFProdPerCap,0.262019621,0.003255338,0.064740486,0.019702758,0.076363407,0.169058551,3A,0.595140161,1062.040161,157976992
2016,16,Bangladesh,EFProdTotGHA,41393073.72,514268.5483,10227507.76,3112582.584,12063661.94,26707362.74,3A,94018457.29,1062.040161,157976992
2016,16,Bangladesh,GDP,,,,,,,,1062.040161,1062.040161,157976992
2016,16,Bangladesh,HDI,,,,,,,,0.606000006,2970.766602,157976992
2016,16,Bangladesh,Population,,,,,,,,157976992,2970.766602,157976992
2016,18,Bhutan,AreaPerCap,0.143883328,0.560602024,3.688245507,0.033934747,0.126898991,0,3A,4.553564597,2970.766602,736708
2016,18,Bhutan,AreaTotHA,106000,413000,2717160,25000,93487.50305,0,3A,3354647.503,2970.766602,736708
2016,18,Bhutan,BiocapPerCap,0.290582806,0.346777859,4.299261425,0.012325603,0.256281707,0,3A,5.2052294,2970.766602,736708
2016,18,Bhutan,BiocapTotGHA,214074.6802,255474.0256,3167300.319,9080.370458,188804.786,0,3A,3834734.181,2970.766602,736708
2016,18,Bhutan,Earths,0.399966883,0.220258243,1.728166279,0.020076954,0.159444364,0.645420423,3A,3.173333146,2970.766602,736708
2016,18,Bhutan,EFConsPerCap,0.642883781,0.354030442,2.777755157,0.032270542,0.256281707,1.037411694,3A,5.100633323,2970.766602,736708
2016,18,Bhutan,EFConsTotGHA,473617.6295,260817.0614,2046394.468,23773.96652,188804.786,764269.5025,3A,3757677.414,2970.766602,736708
